Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Dataleverandør;Dataansvarlig;Beregner;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Beregningsmetode;Kontrol;Kvalitet
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080517";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,842000007629395";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080516";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,855000019073486";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080515";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,877133369445801";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080514";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,892310917377472";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080513";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,929194927215576";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080512";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,966740071773529";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080511";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,00699687004089";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080510";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,05661201477051";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080509";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,11022925376892";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080508";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,16703188419342";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080507";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,20945155620575";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080506";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,25762641429901";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080505";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,32843697071075";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080504";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,41649401187897";"Beregnet ud fra referencestation";"FagK";"GODK"
