Index,Vandløb,Lokation,UTMx,UTMy, longitude, latitude
81,Stae BÆk,Stae BÆk; Syd for Nefovej,564347,6326664,10.06151783,57.07885384
82,GÅSKÆRHUS GRØFT,GÅSKÆRHUS GRØFT; GÅSKÆRHUS,446748,6266631,8.134013136,56.54101053
83,NORDLIGE LANDKANAL,NORDLIGE LANDKANAL; KOBRO,615138,6253555,10.86616531,56.41251353
86,RÆVS Å,RÆVS Å; NØLEV ASSEDRUP BRO,574126,6207131,10.18867574,56.00371872
87,ONSILD Å,ONSILD Å; ÅLYKKEVEJ,548248,6276757,9.786507411,56.63251508
88,ONSILD Å,ONSILD Å; VIUMMØLLE,496927,6280434,8.949859479,56.66802387
89,BREGNINGE Å,BREGNINGE Å; BREGNINGE,644640,6173352,11.30065762,55.68438121
90,SALTØ Å,SALTØ Å; NS. HARRESTED Å,668079,6122884,11.64258248,55.22382883
91,SALTØ Å,SALTØ Å; GRØNBRO,659996,6125930,11.51736764,55.25385869
92,BÆRKÆR BÆK,BÆRKÆR BÆK; V.UDL I FUGLKÆR Å;V.RUNDRUPHUS,471604,6233913,8.541745794,56.24922826
93,FÅREMØLLE Å,FÅREMØLLE Å; KROGSHEDE BRO,450154,6254186,8.191775314,56.4295864
94,KASTBJERG Å,KASTBJERG Å; ÅDALSVEJ,567010,6281441,10.09351634,56.6722805
95,KASTBJERG Å,KASTBJERG Å; NORUP,567615,6281889,10.10350473,56.67621751
96,Vissing Enge,Vissing Enge; Indløbsbrønd Øst,562645,6245441,10.01363123,56.34950542
97,Vissing Enge,Vissing Enge; Indløbsgrøft Vest,562025,6245205,10.00354536,56.34746704
98,Vissing Enge,Vissing Enge; Udløb,562380,6245130,10.00927035,56.34674668
99,Vissing Enge,Vissing Enge; Indløbsgrøft Nord,562130,6245390,10.00528765,56.34911514
100,SKÆRING BÆK,SKÆRING BÆK; VED UDLØB; BRO VED STRANDVEJ,580932,6232106,10.3053594,56.22695558
